id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,109,Lekarz nie ma obowiązku odnotowania w dokumentacji medycznej:,,okoliczności odmowy wnioskowanej przez pacjenta konsultacji z innym lekarzem.,faktu odmowy obecności osoby bliskiej przy udzielaniu świadczeń zdrowotnych.,"okoliczności wykonania świadczenia zdrowotnego bez zgody dorosłego pacjenta, który wymagał niezwłocznej pomocy lekarskiej.","okoliczności wykonania zabiegu operacyjnego u osoby małoletniej bez zgody przedstawiciela ustawowego pacjenta bądź zgody właściwego sądu opiekuńczego, gdy zwłoka spowodowana postępowaniem w sprawie uzyskania zgody groziłaby pacjentowi niebezpieczeństwem utraty życia.",faktu udzielenia informacji córce nieprzytomnego pacjenta.,bioetyka_i_prawo_medyczne,,,,
,110,Wykonanie interwencji medycznej bez zgody pacjenta jest czynnością bezprawną:,,"tylko wtedy, gdy pacjent w jej wyniku doznał szkody.","tylko wtedy, gdy zgoda miała charakter blankietowy (ogólny).","nawet wówczas, gdy interwencja została przeprowadzona zgodnie z aktualną wiedzą medyczną.","wyłącznie wówczas, gdy interwencja została przeprowadzona niezgodnie z aktualną wiedzą medyczną.","wyłącznie wtedy, gdy interwencja została przeprowadzona przez nieuprawnioną do tego osobę.",bioetyka_i_prawo_medyczne,,,,
,111,"Wskaż formę wykonywania zawodu lekarza, która ogranicza jego odpowiedzialność cywilną w razie wyrządzenia szkody, która nie była spowodowana z winy umyślnej lub w wyniku rażącego niedbalstwa:",,indywidualna praktyka lekarska.,indywidualna praktyka lekarska wyłącznie w zakładzie leczniczym na podstawie umowy z podmiotem leczniczym prowadzącym ten zakład.,umowa o pracę.,kontrakt cywilnoprawny zawarty ze szpitalem.,umowa zlecenie.,bioetyka_i_prawo_medyczne,,,,
,112,"Wojewódzka Komisja do spraw Orzekania o Zdarzeniach Medycznych działa w celu ustalenia, czy:",,"zdarzenie, do którego doszło w szpitalu i które wywołało u członka rodziny pacjenta szkodę majątkową, stanowiło zdarzenie medyczne.","zdarzenie, do którego doszło w szpitalu i które wywołało u pacjenta szkodę majątkową lub niemajątkową, stanowiło zdarzenie medyczne.","zdarzenie, do którego doszło w domu pacjenta podczas udzielania świadczeń przez lekarza w ramach indywidualnej praktyki lekarskiej prowadzonej w miejscu wezwania i które wywołało u pacjenta szkodę majątkową i niemajątkową, stanowiło zdarzenie medyczne.","zdarzenie, do którego doszło w prywatnym gabinecie lekarza i które wywołało u pacjenta szkodę majątkową i niemajątkową, stanowiło zdarzenie medyczne.","zdarzenie, do którego doszło poza szpitalem, podczas udzielania pomocy lekarskiej w sytuacji niebezpieczeństwa utraty życia pacjenta i wywołało u pacjenta szkodę majątkową, miało charakter zdarzenia medycznego.",bioetyka_i_prawo_medyczne,,,,
,113,Wskaż prawdziwe stwierdzenie:,,"lekarz może ordynować leki dopuszczone do obrotu w Polsce, a także w uzasadnionych przypadkach leki zarejestrowane w innych państwach.",lekarz może ordynować jedynie leki dopuszczone do obrotu na terenie Polski.,"lekarz może ordynować leki posiadające pozwolenie dopuszczające do obrotu i dopuszczone do obrotu na terenie Polski, a także w uzasadnionych przypadkach leki dopuszczone do obrotu w innych państwach, ale wyłącznie należących do Unii Europejskiej.","lekarz może ordynować leki dopuszczone do obrotu na terenie Polski, a także będące w fazie badań klinicznych.",lekarz może ordynować leki dopuszczone do obrotu na terenie Polski oraz leki będące w fazie rejestracji w procedurze narodowej.,bioetyka_i_prawo_medyczne,,,,
,1,"Okres, w którym wystąpienie udokumentowanych objawów chorobowych upoważnia do rozpoznania choroby zawodowej pomimo wcześniejszego zakończenia pracy w narażeniu zawodowym wynosi:",,10 dni w przypadku zatruć ostrych.,6 miesięcy w przypadku ostrej choroby popromiennej o charakterze zmian zapalnych lub zapalno-martwiczych skóry i tkanki podskórnej.,1 rok w przypadku astmy oskrzelowej.,"5 lat w przypadku przewlekłych chorób narządu głosu spowodowanych nadmiernym wysiłkiem głosowym, trwającym co najmniej 15 lat.","10 lat w przypadku choroby dekompresyjnej, spowodowanej pracą w warunkach podwyższonego ciśnienia atmosferycznego.",orzecznictwo,,,,
,2,"Za wypadek w drodze do pracy lub z pracy uważa się nagłe zdarzenie wywołane przyczyną zewnętrzną, które nastąpiło w drodze do lub z miejsca wykonywania zatrudnienia, przy czym:",,"musi to być najkrótsza droga do pracy, nawet jeśli ze względów komunikacyjnych nie jest najdogodniejsza.",nie dotyczy to pracy wykonywanej poza normalnymi godzinami pracy.,nie jest to droga do miejsca lub z miejsca pobierania nauki.,za drogę do lub z pracy uważa się również miejsce zwykłego spożywania posiłków.,"droga nie może zostać przerwana ze względów życiowych, np. poprzez odprowadzenie dziecka do przedszkola.",orzecznictwo,,,,
,3,"Wyróżnia się trzy stopnie niepełnosprawności - znaczny, umiarkowany i lekki. Jednym z kryterium kwalifikującym do lekkiego stopnia niepełnosprawności jest:",,"konieczność udzielania pomocy, w tym również w pełnieniu funkcji społecznych, czyli zależność osoby z niepełnosprawnością od otoczenia.","czasowa pomoc w pełnieniu funkcji społecznych - konieczność udzielenia niezbędnej pomocy (tj. pielęgnacyjnej, polegającej na udzielaniu wsparcia w codziennych czynnościach i wspieraniu w procesie leczenia i rehabilitacji) w okresach wynikających ze stanu zdrowia.",niezdolność do pracy lub zdolność do pracy jedynie w warunkach pracy chronionej lub wymagających czasowej lub częściowej pomocy innych osób.,"niezdolność do pracy, czyli całkowita niezdolność do wykonywania pracy zarobkowej z powodu fizycznego, psychicznego lub umysłowego naruszenia sprawności organizmu.","obniżenie zdolności do wykonywania pracy przez naruszoną sprawność organizmu powodującą ograniczenia w wykonywaniu pracy zarobkowej, istotnie obniżające wydajność pracy na danym stanowisku w porównaniu do wydajności, jaką wykazują osoby o podobnych kwalifikacjach zawodowych z pełną sprawnością psychiczną i fizyczną.",orzecznictwo,,,,
,4,"Na równi z czasową niezdolnością do pracy z powodu choroby traktowana jest niemożność wykonywania pracy:
1) z powodu pobytu w stacjonarnym zakładzie lecznictwa odwykowego w celu leczenia uzależnienia alkoholowego, uzależnienia od środków odurzających lub substancji psychotropowych;
2) z powodu ustalonego terminu na oddanie krwi wśród honorowych dawców krwi;
3) z powodu pobytu w ośrodku rehabilitacji zawodowej;
4) w wyniku decyzji wydanej przez właściwy organ lub uprawniony podmiot na podstawie przepisów o zapobieganiu oraz zwalczaniu chorób zakaźnych i zakażeń u ludzi.
Prawidłowa odpowiedź to:",,wszystkie wymienione.,tylko 1.,"1,4.","1,3.",tylko 4.,orzecznictwo,,,,
,5,Nadzór nad zgodnością działań ZUS z obowiązującymi przepisami sprawuje:,,Minister Zdrowia.,Minister właściwy do spraw zabezpieczenia społecznego.,Prezes Rady Ministrów.,Rada Nadzorcza ZUS.,Prezes ZUS.,orzecznictwo,,,,
,6,Obowiązkowo ubezpieczeniu wypadkowemu podlegają:,,pracownicy.,bezrobotni pobierający zasiłek dla bezrobotnych.,bezrobotni pobierający świadczenie integracyjne.,posłowie do Parlamentu Europejskiego.,członkowie Rady Europy.,orzecznictwo,,,,
,7,Zgodnie z Ustawą o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych orzeczenie lekarza orzecznika i komisji lekarskiej Zakładu Ubezpieczeń Społecznych o częściowej lub całkowitej niezdolności do pracy stanowi dla organu rentowego podstawę do przyznania:,,zasiłku chorobowego.,świadczenia rehabilitacyjnego.,jednorazowego odszkodowania z tytułu wypadku przy pracy lub choroby zawodowej.,renty z tytułu niezdolności do pracy.,dodatku pielęgnacyjnego.,orzecznictwo,,,,
,8,"Jeżeli nastąpiła śmierć ubezpieczonego, związek pomiędzy śmiercią a wypadkiem przy pracy ustala:",,lekarz orzecznik ZUS lub komisja lekarska ZUS.,lekarz orzecznik NFZ lub komisja lekarska NFZ.,lekarz POZ.,lekarz specjalista medycyny pracy.,komisja lekarska działająca przy izbach lekarskich.,orzecznictwo,,,,
,9,"Osoby poniżej 16. r.ż. zaliczane będą do osób niepełnosprawnych, jeżeli mają naruszoną sprawność fizyczną z powodu wady wrodzonej lub uszkodzenia organizmu o przewidywanym okresie trwania powyżej:",,3 miesięcy.,6 miesięcy.,9 miesięcy.,12 miesięcy.,15 miesięcy.,orzecznictwo,,,,
,10,"Prawidłowość orzekania o czasowej niezdolności do pracy z powodu choroby oraz wystawiania zaświadczeń lekarskich kontrolują lekarze orzecznicy Zakładu Ubezpieczeń Społecznych, którzy nie mogą w tym celu:",,przeprowadzić badania lekarskiego ubezpieczonego.,skierować ubezpieczonego na badanie specjalistyczne przez lekarza konsultanta Zakładu Ubezpieczeń Społecznych.,skierować ubezpieczonego na obserwację szpitalną.,zażądać od lekarza wystawiającego zaświadczenie lekarskie udostępnienia dokumentacji medycznej dotyczącej ubezpieczonego stanowiącej podstawę wydania zaświadczenia lekarskiego lub wyjaśnień i informacji w sprawie.,zlecić wykonania badań pomocniczych w wyznaczonym terminie.,orzecznictwo,,,,
,11,"Wypadek, w wyniku którego u pracownika nastąpiło ciężkie uszkodzenie ciała, takie jak utrata zdolności rozrodczej lub choroba psychiczna to:",,lekki wypadek przy pracy.,umiarkowany wypadek przy pracy.,ciężki wypadek przy pracy.,izolowany wypadek przy pracy.,zbiorowy wypadek przy pracy.,orzecznictwo,,,,
,12,Zasiłek chorobowy nie przysługuje:,,"ubezpieczonemu, który stał się niezdolny do pracy z powodu choroby w czasie trwania ubezpieczenia chorobowego.",ubezpieczonemu z powodu przebywania w stacjonarnym zakładzie lecznictwa odwykowego.,ubezpieczonemu przebywającemu w szpitalu.,nieubezpieczonemu.,"ubezpieczonemu, który był niezdolny do pracy wskutek poddania się niezbędnym badaniom lekarskim przewidzianym dla kandydatów na dawców komórek, tkanek i narządów.",orzecznictwo,,,,
,13,"Zgodnie z przepisami ustawy, za wypadek przy pracy uważa się nagłe zdarzenie wywołane przyczyną zewnętrzną, powodujące uraz lub śmierć, które nastąpiło podczas:
1) wykonywania czynności na rzecz pracodawcy, bez jego polecenia;
2) podróży służbowej;
3) szkolenia w zakresie powszechnej samoobrony;
4) wykonywania zadań zleconych przez działające u pracodawcy organizacje zawodowe.
Prawidłowa odpowiedź to:",,"1,3.","1,4.","2,3.","2,4.",wszystkie wymienione.,orzecznictwo,,,,
,14,Powiatowy zespół orzekania o niepełnosprawności orzeka o stopniu niepełnosprawności:,,z urzędu.,na wniosek szkoły lub innej placówki oświatowej.,na wniosek poradni psychologiczno-pedagogicznej.,na wniosek prokuratora.,"na wniosek osoby zainteresowanej, jej przedstawiciela ustawowego lub za ich zgodą na wniosek ośrodka pomocy społecznej.",orzecznictwo,,,,
,15,W celu kontroli orzekania o czasowej niezdolności do pracy lekarz orzecznik ZUS nie może:,,przeprowadzić badania osoby ubezpieczonej w wyznaczonym miejscu.,przeprowadzić badania osoby ubezpieczonej w miejscu jej pobytu.,skierować osoby ubezpieczonej do dowolnego lekarza na badanie specjalistyczne.,"zażądać od lekarza, który wystawił zaświadczenie lekarskie, udostępnienia dokumentacji medycznej osoby ubezpieczonej, stanowiącej podstawę wydania zaświadczenia lekarskiego.",zlecić wykonania badań pomocniczych w wyznaczonym terminie.,orzecznictwo,,,,
,16,Pracodawca zatrudniający pracowników w warunkach narażenia na działanie substancji i czynników rakotwórczych lub pyłów zwłókniających jest zobowiązany zapewnić im dodatkowe badania okresowe:,,bezwzględnie raz na 12 miesięcy.,"po rozwiązaniu stosunku pracy, jeśli osoba zainteresowana zgłosi wniosek o objęcie takimi badaniami; koszty ponosi osoba zainteresowana.",bezwzględnie po rozwiązaniu stosunku pracy.,"po zaprzestaniu pracy w kontakcie z tymi substancjami, czynnikami lub pyłami; koszty ponosi pracodawca.",pracodawca nie jest zobowiązany do dodatkowych badań okresowych u pracowników narażonych na wymienione substancje.,orzecznictwo,,,,
,17,"Zgodnie z Ustawą o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych za niezdolną do samodzielnej egzystencji uważa się osobę, która z powodu naruszenia sprawności organizmu wymaga:",,pomocy w codziennych czynnościach.,pielęgnacji w okresie ostrym choroby.,pomocy w załatwianiu spraw urzędowych.,stałej lub długotrwałej opieki i pomocy innej osoby w zaspokajaniu podstawowych potrzeb życiowych.,ustalenia przez sąd opiekuna prawnego.,orzecznictwo,,,,
,18,Zakład Ubezpieczeń Społecznych udostępnia druki zaświadczeń lekarskich o czasowej niezdolności do pracy:,,lekarzom mającym upoważnienie ZUS do wystawiania zaświadczeń lekarskich.,lekarzom specjalistom.,lekarzom orzecznikom ZUS.,kierownikom Przychodni.,dyrektorom Szpitali.,orzecznictwo,,,,
,19,Od orzeczenia lekarza orzecznika ZUS o niezdolności do pracy przysługuje osobie zainteresowanej:,,sprzeciw do komisji lekarskiej ZUS w terminie 7 dni.,sprzeciw do komisji lekarskiej ZUS w terminie 14 dni.,sprzeciw do komisji lekarskiej ZUS w terminie 21 dni.,odwołanie do komisji bioetycznej okręgowej izby lekarskiej w terminie 7 dni.,odwołanie do komisji bioetycznej okręgowej izby lekarskiej w terminie 14 dni.,orzecznictwo,,,,
,20,"Renta szkoleniowa z Funduszu Ubezpieczeń Społecznych przysługuje osobie ubezpieczonej mającej odpowiedni okres ubezpieczenia, wobec której orzeczono:",,częściową niezdolność do pracy.,celowość przekwalifikowania zawodowego ze względu na całkowitą niezdolność do pracy.,czasową niezdolność do pracy.,celowość przekwalifikowania zawodowego ze względu na niezdolność do pracy w dotychczasowym zawodzie.,całkowitą niezdolność do służby i zdolność do pracy.,orzecznictwo,,,,
,21,Które z niżej wymienionych świadczeń nie przysługuje osobom ubezpieczonym z ubezpieczenia społecznego w razie choroby i macierzyństwa?,,zasiłek chorobowy.,świadczenie rehabilitacyjne.,zasiłek wyrównawczy.,zasiłek opiekuńczy.,zasiłek pielęgnacyjny.,orzecznictwo,,,,
,22,"Chorobą zawodową jest choroba wymieniona w wykazie chorób zawodowych, jeżeli została spowodowana działaniem czynników szkodliwych dla zdrowia występujących w środowisku pracy lub sposobem wykonywania pracy, zwanych „narażeniem zawodowym”. W rozporządzeniu Rady Ministrów dotyczącym chorób zawodowych nie figuruje:",,pylica płuc.,astma oskrzelowa.,alergiczny nieżyt nosa.,zawał mięśnia sercowego.,zespół wibracyjny.,orzecznictwo,,,,
,23,"Renta socjalna przysługuje osobie pełnoletniej, której z powodu naruszenia sprawności organizmu powstałego w okresach określonych Ustawą o rencie socjalnej orzeczono:",,częściową niezdolność do pracy.,lekki stopień niepełnosprawności.,znaczny stopień niepełnosprawności.,całkowitą niezdolność do pracy.,całkowitą niezdolność do służby.,orzecznictwo,,,,
,24,Świadczenie rehabilitacyjne przysługuje:,,łącznie z zasiłkiem chorobowym.,"jedynie wówczas, gdy ubezpieczony nie był uprawniony do zasiłku chorobowego.",na okres nie dłuższy niż 6 miesięcy.,na okres nie dłuższy niż 9 miesięcy.,"ubezpieczonemu, który po wyczerpaniu zasiłku chorobowego jest nadal niezdolny do pracy, a dalsze leczenie lub rehabilitacja lecznicza rokują odzyskanie zdolności do pracy.",orzecznictwo,,,,
,25,Która z niżej wymienionych chorób nie figuruje w wykazie chorób zawodowych zawartym w Rozporządzeniu Rady Ministrów z dnia 30.VI.2009 r. w sprawie chorób zawodowych?,,pylica płuc.,astma oskrzelowa.,alergiczny nieżyt nosa.,zawał mięśnia sercowego.,zespół wibracyjny.,orzecznictwo,,,,
,26,"Osobą częściowo niezdolną do pracy jest osoba, która:",,utraciła zdolność do wykonywania jakiejkolwiek pracy zarobkowej.,nigdy nie była zdolna do wykonywania jakiejkolwiek pracy zarobkowej.,wymaga pomocy osób trzecich przy wykonywaniu prostych czynności życiowych.,w znacznym stopniu utraciła zdolność do wykonywania pracy zgodnej z poziomem posiadanych kwalifikacji.,nie posiada żadnych kwalifikacji zawodowych.,orzecznictwo,,,,
